age,count
18,152125
19,152875
20,149750
21,150750
22,156250
23,152250
24,152375
25,147750
26,153625
27,145125
28,146250
29,145125
30,152500
31,150250
32,156875
33,151625
34,151750
35,152500
36,142625
37,154500
38,151250
39,148250
40,141000
41,160250
42,150250
43,152375
44,147250
45,148250
46,136625
47,155500
48,145500
49,147625
50,146250
51,151875
52,159750
53,150500
54,156000
55,151750
56,151500
57,147750
58,151875
59,149625
60,149125
61,142000
62,160000
63,148375
64,158125
65,143125
66,147125
67,151875
68,151625
69,156125
70,148375
71,149750
72,156875
73,157750
74,151500
75,148125
76,150500
77,148250
78,153250
79,144000
80,153125
81,152750
82,158375
83,153750
84,157000
85,144250
86,143750
87,155875
88,151500
89,148250
90,154000
91,153250
92,152875
93,155625
94,149500
95,147375
96,150875
97,153250
98,146375
99,142500
100,142000
