age,count
18,143000
19,148750
20,146375
21,154125
22,141750
23,151500
24,146500
25,151125
26,145125
27,146000
28,146875
29,154500
30,149125
31,148500
32,140625
33,151125
34,149875
35,156125
36,151125
37,151750
38,162875
39,148125
40,148000
41,150625
42,150000
43,149375
44,145125
45,156000
46,150750
47,152875
48,143625
49,154750
50,149250
51,151625
52,151125
53,150500
54,152875
55,156750
56,158500
57,149875
58,149375
59,157750
60,153625
61,151000
62,149625
63,143750
64,151125
65,147250
66,152375
67,154750
68,153125
69,150250
70,145875
71,145375
72,149875
73,147125
74,151375
75,162000
76,160125
77,150250
78,163250
79,156250
80,145250
81,153750
82,150875
83,152500
84,146000
85,137875
86,153625
87,146750
88,151625
89,148250
90,148125
91,152875
92,157750
93,146375
94,148625
95,155375
96,155625
97,150750
98,148000
99,151375
100,146625
