age,count
18,151750
19,146875
20,152125
21,147500
22,148625
23,157375
24,149750
25,153125
26,151375
27,154750
28,156125
29,151125
30,155875
31,143750
32,148625
33,162500
34,147000
35,154000
36,159250
37,145250
38,150125
39,147500
40,153750
41,145375
42,145875
43,138750
44,147250
45,146875
46,144750
47,146625
48,145500
49,154000
50,151125
51,156000
52,149750
53,145125
54,151125
55,152125
56,146750
57,149250
58,150625
59,144500
60,152500
61,153875
62,147000
63,154500
64,157875
65,150250
66,153875
67,153125
68,150125
69,154500
70,147000
71,145500
72,149375
73,151500
74,153125
75,153750
76,149625
77,145750
78,154250
79,152375
80,155625
81,158375
82,150375
83,151375
84,156125
85,147625
86,148625
87,152375
88,152500
89,148250
90,153250
91,151625
92,146625
93,152625
94,149500
95,149625
96,151375
97,150250
98,147125
99,150375
100,147000
