age,count
18,149750
19,148500
20,149125
21,150875
22,144375
23,154625
24,151500
25,154375
26,145500
27,152250
28,149250
29,156000
30,152500
31,148250
32,149250
33,146000
34,150875
35,149125
36,151625
37,146125
38,141375
39,144625
40,152000
41,151500
42,153000
43,155625
44,144500
45,156625
46,156500
47,155250
48,148500
49,154625
50,152750
51,148750
52,153875
53,150625
54,151875
55,148125
56,147625
57,159625
58,150875
59,159375
60,155375
61,157000
62,153000
63,146000
64,155250
65,147625
66,145375
67,148125
68,150250
69,143750
70,151500
71,148625
72,150375
73,147625
74,143000
75,155625
76,152000
77,138000
78,149000
79,142750
80,154875
81,153125
82,148125
83,152375
84,148875
85,142750
86,153500
87,152375
88,162250
89,152500
90,153875
91,150875
92,152500
93,152125
94,152250
95,150500
96,147625
97,156000
98,150375
99,146000
100,149375
