age,count
18,153125
19,146875
20,147625
21,152000
22,153750
23,150000
24,148875
25,152625
26,147500
27,149500
28,139625
29,150000
30,150875
31,144375
32,140875
33,151375
34,154875
35,154750
36,153750
37,147500
38,151000
39,149250
40,147250
41,155000
42,154375
43,152500
44,145375
45,151250
46,153000
47,156125
48,145125
49,164250
50,152375
51,149500
52,161875
53,158125
54,148500
55,149750
56,150875
57,154250
58,152375
59,149750
60,151125
61,152625
62,154500
63,156375
64,145750
65,152500
66,146500
67,152875
68,149500
69,144125
70,146750
71,144375
72,142750
73,140875
74,158375
75,154500
76,155875
77,152375
78,151250
79,143375
80,148875
81,144750
82,150250
83,151125
84,147250
85,154625
86,151500
87,149625
88,147875
89,140875
90,151625
91,153375
92,151125
93,156250
94,149750
95,151750
96,149625
97,156125
98,156250
99,155625
100,143625
