age,count
18,144375
19,161375
20,153375
21,156125
22,151125
23,153375
24,147875
25,146125
26,152500
27,153625
28,144750
29,155375
30,147375
31,149250
32,160000
33,144875
34,155875
35,156875
36,148875
37,157125
38,151375
39,154875
40,151625
41,147875
42,148375
43,150250
44,148750
45,147000
46,158125
47,149750
48,153125
49,153625
50,152125
51,142750
52,148625
53,149750
54,158375
55,143750
56,152250
57,153375
58,153375
59,155625
60,146500
61,148250
62,147750
63,149875
64,149500
65,155125
66,147500
67,146750
68,146125
69,155250
70,145500
71,148000
72,154875
73,147500
74,148875
75,149125
76,149875
77,151125
78,145250
79,152500
80,153125
81,149875
82,148625
83,146500
84,150625
85,149375
86,150500
87,142625
88,149000
89,148250
90,146125
91,144750
92,154375
93,154500
94,146625
95,152750
96,146500
97,147750
98,154750
99,151750
100,161375
