age,count
18,230996
19,231533
20,221605
21,223881
22,225943
23,230269
24,224417
25,218032
26,228015
27,222586
28,218662
29,231916
30,225741
31,227995
32,221647
33,224259
34,225211
35,234904
36,229095
37,224430
38,223351
39,225120
40,223138
41,218420
42,218425
43,220828
44,220126
45,222551
46,227056
47,230952
48,221481
49,222749
50,230836
51,231352
52,228169
53,234732
54,221437
55,222811
56,230771
57,217722
58,228929
59,224411
60,217727
61,231716
62,225735
63,225947
64,239038
65,230764
66,230621
67,224453
68,220709
69,220152
70,230068
71,238492
72,214693
73,228172
74,223920
75,223289
76,210272
77,227238
78,229680
79,221811
80,222045
81,227988
82,232501
83,224483
84,228004
85,227042
86,236222
87,217171
88,235660
89,229471
90,215466
91,219812
92,225028
93,230423
94,219943
95,227028
96,232492
97,226888
98,222981
99,230623
100,237728
