age_group,gender,书籍,家居,服装,电子产品,食品
青年,其他,0.2595183572812602,0.17916907823548656,0.18858048768212587,0.17458919449407384,0.19814288230705351
青年,女,0.19704752660105615,0.2023015544955901,0.19573198768293307,0.2135434325231874,0.1913754986972333
青年,未指定,0.19800855739263643,0.19306956843272938,0.2178437483492684,0.1684010353388622,0.2226770904865036
青年,男,0.19967817671648627,0.20548015804844527,0.1960762755540285,0.19757086411269542,0.2011945255683445
中年,其他,0.19126153353481576,0.18203470568220484,0.22697796369313292,0.19323299241438666,0.20649280467545983
中年,女,0.20567535454695898,0.20144189557808773,0.19463684387661562,0.2010658257081177,0.19718008029021994
中年,未指定,0.19222673868255472,0.21706108357926387,0.20260593574252464,0.17947547190823543,0.20863077008742134
中年,男,0.2008669100276376,0.19973944722030135,0.1959081957411984,0.20332297057847976,0.2001624764323829
中老年,其他,0.19589198628532487,0.1736695274399983,0.22544029644142513,0.17357369508273526,0.23142449475051644
中老年,女,0.19783214449374345,0.2022063315011208,0.1993164191861344,0.19923778211633886,0.20140732270266248
中老年,未指定,0.21379400052030179,0.16711692781813453,0.24562246102739588,0.16513577875167598,0.20833083188249185
中老年,男,0.19903943899198462,0.19990775309956468,0.19737853584434598,0.20126575597711727,0.20240851608698746
老年,其他,0.22630997953610876,0.21173994719412292,0.1792688516335608,0.17801003182554695,0.2046711898106606
老年,女,0.2003110345937787,0.19972016817088034,0.20058020417165806,0.20182883741739369,0.19755975564628922
老年,未指定,0.18778164320317325,0.1975485255389017,0.21219234645771695,0.18774262769450856,0.2147348571056995
老年,男,0.20107373329722517,0.2010795458298381,0.2009844316598083,0.19874792763396898,0.19811436157915943
