age,count
18,222789
19,218252
20,233179
21,222033
22,225909
23,226195
24,226813
25,233410
26,223171
27,213386
28,234518
29,213593
30,216775
31,224613
32,232678
33,234343
34,221839
35,233041
36,220156
37,232147
38,229121
39,223892
40,222590
41,223497
42,240339
43,238849
44,230611
45,224789
46,212857
47,220517
48,230372
49,222044
50,212994
51,236195
52,222207
53,224828
54,228912
55,233067
56,217143
57,231930
58,220339
59,229493
60,226881
61,232649
62,217746
63,216988
64,216216
65,221308
66,236039
67,236970
68,218101
69,217306
70,228012
71,224270
72,238820
73,233825
74,216014
75,231889
76,222367
77,226729
78,227452
79,228183
80,230409
81,240716
82,216982
83,221605
84,222538
85,239748
86,233227
87,224259
88,219949
89,228184
90,234898
91,231724
92,227814
93,230793
94,214715
95,230579
96,211389
97,226305
98,216219
99,220718
100,224038
