age,count
18,216600
19,242054
20,230081
21,234200
22,226711
23,230069
24,221835
25,219190
26,228717
27,230427
28,217163
29,233028
30,221103
31,223922
32,239989
33,217320
34,233811
35,235261
36,223335
37,235691
38,227070
39,232271
40,227419
41,221779
42,222568
43,225422
44,223143
45,220523
46,237180
47,224651
48,229732
49,230449
50,228184
51,214167
52,222960
53,224599
54,237525
55,215669
56,228362
57,230047
58,230066
59,233366
60,219775
61,222380
62,221618
63,224769
64,224234
65,232648
66,221202
67,220121
68,219175
69,232849
70,218236
71,221993
72,232306
73,221274
74,223307
75,223651
76,224826
77,226673
78,217898
79,228742
80,229639
81,224811
82,222956
83,219789
84,225971
85,224109
86,225771
87,213929
88,223498
89,222364
90,219157
91,217167
92,231552
93,231742
94,219925
95,229117
96,219781
97,221632
98,232123
99,227595
100,242036
