age,count
18,232302
19,237347
20,236040
21,235122
22,228710
23,218285
24,226518
25,231894
26,229122
27,219010
28,222363
29,231374
30,214882
31,215287
32,229132
33,226663
34,239385
35,226138
36,218635
37,240161
38,218215
39,220709
40,221246
41,227220
42,231915
43,225201
44,237559
45,226309
46,224622
47,225962
48,231167
49,228964
50,202397
51,226154
52,225002
53,234921
54,212087
55,229135
56,236955
57,229870
58,228936
59,230607
60,231180
61,234166
62,221289
63,225358
64,224456
65,222202
66,221431
67,213600
68,218410
69,224230
70,227825
71,216563
72,221253
73,233971
74,232482
75,219573
76,226826
77,233976
78,233990
79,222788
80,223487
81,220893
82,219016
83,225161
84,221255
85,227763
86,225411
87,221305
88,224068
89,227653
90,221862
91,228328
92,219393
93,230621
94,234532
95,218669
96,228917
97,230461
98,211364
99,224976
100,225773
