age,count
18,231741
19,221090
20,220730
21,239387
22,231142
23,219243
24,232076
25,216586
26,226307
27,222570
28,234736
29,226140
30,228367
31,229127
32,226302
33,215443
34,226834
35,230254
36,233642
37,220703
38,217360
39,212833
40,230583
41,230257
42,215424
43,233060
44,230051
45,218623
46,225030
47,224114
48,226301
49,226439
50,231540
51,220502
52,237542
53,214160
54,216627
55,228403
56,236744
57,220881
58,224980
59,219579
60,223682
61,227825
62,220124
63,227032
64,224257
65,233426
66,225400
67,224458
68,235837
69,234339
70,231354
71,231539
72,233428
73,225005
74,224267
75,233456
76,223100
77,223824
78,232871
79,215085
80,232444
81,219028
82,227095
83,218621
84,223855
85,229315
86,213962
87,210251
88,218632
89,222552
90,231577
91,238843
92,221047
93,228925
94,228338
95,221109
96,227272
97,228585
98,223345
99,232849
100,228593
