age_group,gender,书籍,家居,服装,电子产品,食品
青年,其他,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
青年,女,0.17857142857142858,0.23214285714285715,0.17857142857142858,0.22321428571428573,0.1875
青年,未指定,0.0,0.5,0.5,0.0,0.0
青年,男,0.16793893129770993,0.2366412213740458,0.183206106870229,0.1984732824427481,0.21374045801526717
中年,其他,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25
中年,女,0.21548821548821548,0.21885521885521886,0.19528619528619529,0.18181818181818182,0.18855218855218855
中年,未指定,0.4,0.3,0.1,0.0,0.2
中年,男,0.18771331058020477,0.20819112627986347,0.19112627986348124,0.20477815699658702,0.20819112627986347
中老年,其他,0.3333333333333333,0.13333333333333333,0.2,0.2,0.13333333333333333
中老年,女,0.2,0.23030303030303031,0.20606060606060606,0.18181818181818182,0.18181818181818182
中老年,未指定,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.0
中老年,男,0.2214765100671141,0.18791946308724833,0.19463087248322147,0.174496644295302,0.2214765100671141
老年,其他,0.2,0.13333333333333333,0.3333333333333333,0.26666666666666666,0.06666666666666667
老年,女,0.19498069498069498,0.21428571428571427,0.1891891891891892,0.16795366795366795,0.2335907335907336
老年,未指定,0.11764705882352941,0.23529411764705882,0.4117647058823529,0.11764705882352941,0.11764705882352941
老年,男,0.21452702702702703,0.17060810810810811,0.17567567567567569,0.23141891891891891,0.20777027027027026
