age_group,gender,书籍,家居,服装,电子产品,食品
青年,其他,0.0,0.2222222222222222,0.1111111111111111,0.5555555555555556,0.1111111111111111
青年,女,0.211864406779661,0.17796610169491525,0.1271186440677966,0.211864406779661,0.2711864406779661
青年,未指定,0.14285714285714285,0.0,0.0,0.0,0.8571428571428571
青年,男,0.22950819672131148,0.12295081967213115,0.19672131147540983,0.19672131147540983,0.2540983606557377
中年,其他,0.25,0.25,0.125,0.0,0.375
中年,女,0.16451612903225807,0.23225806451612904,0.2,0.18387096774193548,0.21935483870967742
中年,未指定,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.36363636363636365,0.0
中年,男,0.2222222222222222,0.17592592592592593,0.18518518518518517,0.23148148148148148,0.18518518518518517
中老年,其他,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091
中老年,女,0.19428571428571428,0.17142857142857143,0.18571428571428572,0.23142857142857143,0.21714285714285714
中老年,未指定,0.13333333333333333,0.2,0.13333333333333333,0.3333333333333333,0.2
中老年,男,0.18596491228070175,0.22807017543859648,0.19649122807017544,0.19649122807017544,0.19298245614035087
老年,其他,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2777777777777778
老年,女,0.19786096256684493,0.20320855614973263,0.22638146167557932,0.20320855614973263,0.16934046345811052
老年,未指定,0.1,0.3,0.3,0.05,0.25
老年,男,0.186219739292365,0.2309124767225326,0.1973929236499069,0.19180633147113593,0.19366852886405958
