age,count
18,5375
19,3375
20,4250
21,5000
22,4625
23,4625
24,3875
25,4000
26,4000
27,3750
28,4250
29,5125
30,3500
31,4625
32,4500
33,5500
34,3500
35,3750
36,5375
37,4750
38,3875
39,4125
40,3125
41,3625
42,4250
43,3750
44,4875
45,2875
46,3375
47,3875
48,5000
49,4000
50,4000
51,4500
52,3000
53,4625
54,5625
55,3750
56,3000
57,4875
58,4000
59,3375
60,3250
61,4250
62,3375
63,4000
64,3875
65,3625
66,3500
67,3000
68,4375
69,4250
70,4625
71,4625
72,4750
73,4375
74,4125
75,4125
76,4375
77,4375
78,4375
79,4000
80,2500
81,3875
82,4375
83,3750
84,4375
85,5125
86,5500
87,3500
88,5625
89,3500
90,5000
91,4500
92,4625
93,4625
94,4375
95,5000
96,4500
97,2875
98,3500
99,4000
100,3625
