age,count
18,3625
19,3375
20,2875
21,5875
22,4875
23,5125
24,3750
25,4125
26,4125
27,3500
28,4000
29,4000
30,3125
31,3750
32,3500
33,4500
34,5000
35,3875
36,4375
37,4375
38,4500
39,4500
40,3250
41,5500
42,4250
43,3250
44,3625
45,4625
46,3750
47,4375
48,4875
49,3625
50,4375
51,3500
52,3250
53,3625
54,5000
55,4250
56,5375
57,3625
58,4500
59,3750
60,3375
61,2250
62,3125
63,4250
64,4250
65,4500
66,4625
67,3750
68,4625
69,3375
70,3375
71,4500
72,3125
73,4250
74,4000
75,2750
76,6000
77,4750
78,3750
79,4625
80,4500
81,5000
82,4000
83,3250
84,4750
85,5375
86,4250
87,6250
88,4500
89,4500
90,2250
91,4125
92,5250
93,5875
94,4125
95,4125
96,3375
97,4750
98,2750
99,2750
100,3750
