age,count
18,5000
19,4250
20,4625
21,3375
22,4125
23,3750
24,3500
25,4750
26,4125
27,4000
28,4875
29,3875
30,4875
31,3375
32,3625
33,3750
34,3875
35,4125
36,4500
37,4500
38,3625
39,3500
40,3125
41,5250
42,3000
43,3375
44,3250
45,3625
46,4750
47,5125
48,3875
49,6125
50,5000
51,4500
52,4125
53,5125
54,3500
55,3125
56,4125
57,4250
58,3375
59,3750
60,3250
61,3875
62,3875
63,3125
64,3625
65,2250
66,4375
67,4500
68,4250
69,4250
70,3250
71,4125
72,4125
73,3125
74,4625
75,3375
76,4250
77,3375
78,4125
79,4000
80,4125
81,3875
82,2875
83,2500
84,4750
85,3875
86,4375
87,4500
88,3375
89,4750
90,4375
91,4000
92,4625
93,4375
94,5250
95,3750
96,4625
97,4125
98,4500
99,5750
100,5625
