age,count
18,7491
19,6366
20,6939
21,5073
22,6190
23,5638
24,5257
25,7126
26,6194
27,5998
28,7307
29,5812
30,7308
31,5067
32,5444
33,5627
34,5811
35,6190
36,6748
37,6747
38,5439
39,5252
40,4687
41,7873
42,4511
43,5067
44,4880
45,5439
46,7126
47,7676
48,5808
49,9181
50,7510
51,6740
52,6182
53,7679
54,5249
55,4689
56,6184
57,6380
58,5060
59,5623
60,4878
61,5818
62,5811
63,4692
64,5445
65,3386
66,6564
67,6755
68,6368
69,6376
70,4878
71,6191
72,6185
73,4691
74,6937
75,5069
76,6373
77,5062
78,6196
79,5996
80,6190
81,5812
82,4326
83,3757
84,7116
85,5813
86,6558
87,6748
88,5067
89,7132
90,6555
91,5999
92,6934
93,6560
94,7872
95,5638
96,6936
97,6181
98,6745
99,8618
100,8432
