age,count
18,6183
19,5252
20,5811
21,4318
22,5250
23,6368
24,7116
25,6188
26,5070
27,7870
28,5629
29,7875
30,5626
31,5251
32,5628
33,8988
34,4497
35,5996
36,5811
37,3566
38,5623
39,5437
40,5816
41,6185
42,6195
43,6372
44,3757
45,3573
46,6749
47,6193
48,4686
49,7495
50,5811
51,5627
52,6560
53,6744
54,6557
55,6560
56,6939
57,5814
58,7492
59,5813
60,6930
61,6747
62,5817
63,5812
64,4698
65,3947
66,6384
67,7119
68,6188
69,3011
70,5434
71,6374
72,6561
73,6743
74,6758
75,5634
76,5813
77,7868
78,7120
79,5998
80,8055
81,6192
82,5818
83,5256
84,5058
85,5069
86,4878
87,6938
88,6370
89,5629
90,6934
91,5999
92,7116
93,6374
94,5435
95,5813
96,4694
97,7314
98,5816
99,5629
100,6746
