age_group,gender,书籍,家居,服装,电子产品,食品
青年,其他,0.5993589743589743,0.0,0.0,0.20085470085470086,0.1997863247863248
青年,女,0.20355693933389943,0.17737522407774317,0.19459382960656665,0.1681762430417964,0.2562977639399943
青年,未指定,0.0010660980810234541,0.39872068230277186,0.0,0.39872068230277186,0.20149253731343283
青年,男,0.16198094341842137,0.19852566364741403,0.19119319295769124,0.24993138062188763,0.19836881935458572
中年,其他,0.20053333333333334,0.19946666666666665,0.0010666666666666667,0.29973333333333335,0.2992
中年,女,0.2011182134217651,0.18025984844843881,0.14435846910494865,0.2642059563287996,0.2100575126960478
中年,未指定,0.18791722296395194,0.25,0.12516688918558078,0.3120827770360481,0.12483311081441922
中年,男,0.18671954100573743,0.1961862976712791,0.21517043536955788,0.20256496793790077,0.1993587580155248
中老年,其他,0.3568433091879527,0.14372855508959206,0.21387723980175372,0.14258482653450247,0.14296606938619902
中老年,女,0.2358476324661601,0.17291467485197673,0.2387326187960214,0.169929049464097,0.18257602442174475
中老年,未指定,0.5984,0.1008,0.09973333333333333,0.20053333333333334,0.0005333333333333334
中老年,男,0.17570516447102563,0.18798997817829144,0.23329831083811525,0.23027560009698536,0.17273094641558231
老年,其他,0.25,0.29137010676156583,0.16659252669039146,0.12522241992882563,0.16681494661921709
老年,女,0.15192161433383047,0.23878194047983564,0.21110595300415833,0.21844473198147032,0.17974576020070523
老年,未指定,0.22778988138465261,0.18179617526022754,0.2728152989590898,0.13604454127329943,0.18155410312273057
老年,男,0.20249620122516462,0.19887422471545027,0.19358938827779318,0.19539559819952407,0.20964458758206786
