age_group,income_level,gender,书籍,家居,服装,电子产品,食品,total
青年,低收入,其他,0.0,0.0,0.0,0.0,1.0,1.0
青年,低收入,女,0.0752,0.20026666666666668,0.29986666666666667,0.19973333333333335,0.22493333333333335,1.0
青年,低收入,未指定,0.0,0.0026666666666666666,0.49866666666666665,0.49866666666666665,0.0,1.0
青年,低收入,男,0.24366471734892786,0.14632878492527615,0.14658869395711502,0.19519168291098116,0.2682261208576998,1.0
青年,中收入,其他,0.0,0.0,1.0,0.0,0.0,1.0
青年,中收入,女,0.26823560005200886,0.2194773111428943,0.14692497724613185,0.14627486672734366,0.21908724483162137,1.0
青年,中收入,未指定,,,,,,
青年,中收入,男,0.1629262244265344,0.2328580285182889,0.1856168629882207,0.139863608183509,0.278735275883447,1.0
青年,高收入,其他,0.0,1.0,0.0,0.0,0.0,1.0
青年,高收入,女,0.15814606741573034,0.18412921348314606,0.18412921348314606,0.28918539325842696,0.18441011235955057,1.0
青年,高收入,未指定,0.3339253996447602,0.0,0.3321492007104796,0.0017761989342806395,0.3321492007104796,1.0
青年,高收入,男,0.28567077813308966,0.11435967717374752,0.3139942134917009,0.05756052992233897,0.2284148012791229,1.0
中年,低收入,其他,0.6642984014209592,0.3339253996447602,0.0017761989342806395,0.0,0.0,1.0
中年,低收入,女,0.15764933210115098,0.2517852642191044,0.20461228261782743,0.1498361757540116,0.23611694530790556,1.0
中年,低收入,未指定,0.0,0.5006657789613849,0.0013315579227696406,0.24900133155792276,0.24900133155792276,1.0
中年,低收入,男,0.1880984952120383,0.16233470132238942,0.15376196990424076,0.31605107159142726,0.17975376196990425,1.0
中年,中收入,其他,0.24966622162883845,0.24966622162883845,0.5006675567423231,0.0,0.0,1.0
中年,中收入,女,0.16536053790864827,0.2604683514954788,0.2348249478321354,0.16554602364943194,0.17380013911430559,1.0
中年,中收入,未指定,0.24966622162883845,0.25033377837116155,0.0,0.5,0.0,1.0
中年,中收入,男,0.23233139409609999,0.17173023055375997,0.15147597500538676,0.2524779142426201,0.19198448610213317,1.0
中年,高收入,其他,0.0013315579227696406,0.25033288948069243,0.4993342210386152,0.0,0.24900133155792276,1.0
中年,高收入,女,0.17532003736058457,0.20614251964177793,0.22674578319872535,0.16499093456403494,0.2268007252348772,1.0
中年,高收入,未指定,0.0,0.16622222222222222,0.3342222222222222,0.0008888888888888889,0.49866666666666665,1.0
中年,高收入,男,0.2149091870922236,0.2148651031564098,0.22288837947451948,0.14062775524598836,0.20670957503085877,1.0
中老年,低收入,其他,0.0,0.0,0.5006675567423231,0.24966622162883845,0.24966622162883845,1.0
中老年,低收入,女,0.18627502221293055,0.14728479590236765,0.2939946688966707,0.18622275649401557,0.18622275649401557,1.0
中老年,低收入,未指定,0.14242193450114243,0.4287890327494288,0.1431835491241432,0.14242193450114243,0.1431835491241432,1.0
中老年,低收入,男,0.2166934996981284,0.15108673777420004,0.2170456832360636,0.17931173274300663,0.23586234654860133,1.0
中老年,中收入,其他,0.0,0.3339253996447602,0.0017761989342806395,0.0,0.6642984014209592,1.0
中老年,中收入,女,0.19273952095808383,0.22815306886227546,0.1845059880239521,0.1578873502994012,0.23671407185628743,1.0
中老年,中收入,未指定,0.0021253985122210413,0.19872476089266738,0.3995749202975558,0.1997874601487779,0.1997874601487779,1.0
中老年,中收入,男,0.21140255798829397,0.2599609798395838,0.11393886841534794,0.23563841318014309,0.17905918057663125,1.0
中老年,高收入,其他,0.5,0.0,0.4973404255319149,0.0,0.0026595744680851063,1.0
中老年,高收入,女,0.1897075055187638,0.1725533480500368,0.24990802060338485,0.22410779985283297,0.1637233259749816,1.0
中老年,高收入,未指定,0.4277016742770167,0.00076103500761035,0.4277016742770167,0.14231354642313546,0.0015220700152207,1.0
中老年,高收入,男,0.1606864274570983,0.24518142016003222,0.16984550349755925,0.22646067133007902,0.19782597755523124,1.0
老年,低收入,其他,0.0008896797153024911,0.16725978647686832,0.33274021352313166,0.16637010676156583,0.33274021352313166,1.0
老年,低收入,女,0.20193499703551987,0.212229828060152,0.22724087748612085,0.17681776532097235,0.18177653209723496,1.0
老年,低收入,未指定,0.0,0.1447067783701447,0.42726580350342724,0.2856054836252856,0.14242193450114243,1.0
老年,低收入,男,0.1769835891694411,0.15482749477033675,0.20998202763619223,0.25394066173654284,0.20426622668748712,1.0
老年,中收入,其他,0.1114404267931239,0.22169531713100177,0.33313574392412565,0.11084765856550088,0.2228808535862478,1.0
老年,中收入,女,0.16156404082100675,0.2201869051714253,0.18816649466804267,0.2792684325192065,0.15081412682031878,1.0
老年,中收入,未指定,0.400213447171825,0.3991462113127001,0.0010672358591248667,0.0,0.19957310565635006,1.0
老年,中收入,男,0.22290501173947072,0.20099133308211833,0.20646975274645643,0.17394707092959216,0.19568683150236238,1.0
老年,高收入,其他,0.0,0.25,0.0,0.25,0.5,1.0
老年,高收入,女,0.15760948323334203,0.15775439816827522,0.23366084108628235,0.21737240239979133,0.23360287511230907,1.0
老年,高收入,未指定,0.11117681845062094,0.33175635718509755,0.3335304553518628,0.11295091661738617,0.11058545239503252,1.0
老年,高收入,男,0.1942472348334806,0.15442274292330663,0.234224077516073,0.23428501782504038,0.1828209269020994,1.0
