age,count
18,7114
19,7310
20,6183
21,6364
22,6934
23,6935
24,6929
25,6554
26,5444
27,4508
28,7497
29,6373
30,8243
31,4316
32,3761
33,5628
34,5623
35,6743
36,6374
37,6182
38,5250
39,4872
40,6552
41,5437
42,6565
43,5255
44,4686
45,6568
46,7499
47,5442
48,5445
49,5630
50,5997
51,6377
52,5260
53,5817
54,6750
55,5623
56,6381
57,6185
58,5437
59,3942
60,5258
61,4689
62,6560
63,6373
64,5060
65,4507
66,5437
67,4686
68,7314
69,5624
70,5065
71,6183
72,7865
73,6003
74,6375
75,4316
76,5250
77,6000
78,6564
79,6562
80,7120
81,7116
82,4316
83,5816
84,6568
85,8616
86,5250
87,7316
88,5436
89,5257
90,5996
91,6562
92,4503
93,5248
94,6183
95,7496
96,5628
97,5442
98,6369
99,5439
100,6370
