age,count
18,5250
19,6003
20,5442
21,7310
22,5998
23,4317
24,5816
25,5812
26,6561
27,4693
28,6369
29,7305
30,5067
31,8244
32,5443
33,5998
34,8245
35,3006
36,6933
37,8244
38,5814
39,5250
40,6931
41,6557
42,7497
43,6186
44,6008
45,6001
46,6750
47,5815
48,6002
49,4875
50,5821
51,6196
52,7867
53,8247
54,4874
55,5819
56,5249
57,6560
58,6933
59,5819
60,7124
61,6558
62,6372
63,6189
64,5259
65,6935
66,5811
67,7307
68,4690
69,6750
70,7871
71,6003
72,5810
73,6557
74,6191
75,5252
76,6553
77,4876
78,5441
79,7309
80,5810
81,5627
82,6193
83,6558
84,6935
85,5253
86,6191
87,5246
88,8052
89,6370
90,4695
91,4691
92,7134
93,6742
94,5064
95,4881
96,5627
97,5255
98,5626
99,6003
100,5995
