age,count
18,6008
19,6185
20,6000
21,6187
22,5255
23,6937
24,3947
25,5066
26,3760
27,5065
28,4689
29,4687
30,6370
31,5812
32,5815
33,6745
34,5998
35,5248
36,6002
37,4689
38,7122
39,4320
40,6945
41,6381
42,5996
43,7311
44,7494
45,4686
46,6000
47,6381
48,6744
49,4501
50,5997
51,4880
52,5063
53,6184
54,6370
55,6928
56,5998
57,5809
58,3567
59,6570
60,5066
61,8240
62,6370
63,6186
64,4508
65,6748
66,6179
67,5815
68,4317
69,6746
70,6938
71,6932
72,6937
73,4693
74,4313
75,6753
76,6186
77,5255
78,4886
79,5814
80,5440
81,5629
82,6179
83,4877
84,5250
85,6561
86,5994
87,4505
88,6556
89,6748
90,5819
91,7682
92,6934
93,4319
94,5811
95,6189
96,6748
97,4687
98,5255
99,5814
100,6746
