age,count
18,5254
19,7874
20,5629
21,5058
22,6929
23,6944
24,6377
25,5999
26,3569
27,8239
28,6005
29,6380
30,7125
31,5817
32,5996
33,7685
34,7867
35,8615
36,7122
37,5625
38,5436
39,5816
40,5625
41,6186
42,4504
43,6373
44,7497
45,6001
46,5631
47,6560
48,7117
49,5626
50,6371
51,7675
52,7310
53,7123
54,6182
55,4698
56,7310
57,5629
58,6385
59,5817
60,6373
61,4690
62,6938
63,6183
64,4693
65,6743
66,5442
67,5623
68,6554
69,8056
70,5998
71,5253
72,6188
73,4129
74,7495
75,5437
76,5257
77,8055
78,7311
79,7125
80,4509
81,6373
82,7309
83,4321
84,5809
85,5252
86,7127
87,4879
88,5255
89,5629
90,4875
91,6189
92,6749
93,6199
94,6751
95,6378
96,6379
97,6003
98,5810
99,6188
100,6002
