age,count
18,5066
19,6189
20,6001
21,7125
22,5069
23,6561
24,8246
25,7303
26,8058
27,7119
28,5249
29,6189
30,4695
31,4885
32,5628
33,6939
34,5436
35,9176
36,7123
37,5251
38,6376
39,5813
40,6002
41,5995
42,5999
43,5818
44,5436
45,4875
46,6755
47,5254
48,8062
49,5442
50,8805
51,5806
52,5813
53,3195
54,6934
55,5071
56,6931
57,6002
58,5997
59,7123
60,6753
61,6931
62,5439
63,6370
64,4871
65,4692
66,5807
67,4132
68,6369
69,6000
70,6747
71,4314
72,8434
73,5810
74,6184
75,7305
76,6564
77,6745
78,4692
79,5618
80,5626
81,6560
82,5631
83,6004
84,6369
85,6184
86,5261
87,6936
88,5444
89,5623
90,6938
91,5625
92,6928
93,6007
94,6377
95,5629
96,6933
97,7682
98,8064
99,7869
100,7130
