age,count
18,6189
19,6561
20,4882
21,7310
22,5624
23,6187
24,4130
25,6183
26,6377
27,6370
28,7122
29,5994
30,6932
31,5248
32,3943
33,6934
34,5626
35,8428
36,5252
37,6373
38,6557
39,6747
40,6562
41,7302
42,5254
43,6753
44,6377
45,5624
46,6186
47,7685
48,5434
49,5993
50,6562
51,5443
52,6741
53,4876
54,6187
55,6001
56,7494
57,7494
58,5811
59,6192
60,4692
61,5621
62,5810
63,5995
64,5999
65,6004
66,8243
67,5630
68,6372
69,6752
70,5252
71,6377
72,7503
73,5625
74,6561
75,6934
76,6749
77,4500
78,7308
79,5994
80,7686
81,5437
82,5628
83,4693
84,5055
85,7682
86,4691
87,6943
88,6929
89,3762
90,5632
91,6938
92,4881
93,6748
94,4690
95,5440
96,5255
97,6371
98,6750
99,4873
100,4883
