age,count
18,5438
19,5072
20,4314
21,8802
22,7309
23,7684
24,5627
25,6187
26,6184
27,5250
28,6004
29,6011
30,4695
31,5624
32,5258
33,6749
34,7497
35,5820
36,6562
37,6566
38,6749
39,6748
40,4878
41,8250
42,6380
43,4874
44,5437
45,6934
46,5627
47,6561
48,7309
49,5445
50,6560
51,5251
52,4878
53,5437
54,7495
55,6371
56,8068
57,5440
58,6746
59,5629
60,5063
61,3380
62,4690
63,6372
64,6374
65,6743
66,6941
67,5627
68,6933
69,5063
70,5061
71,6746
72,4693
73,6375
74,6009
75,4128
76,8993
77,7118
78,5620
79,6934
80,6748
81,7494
82,6001
83,4872
84,7121
85,8054
86,6377
87,9360
88,6748
89,6746
90,3376
91,6190
92,7869
93,8807
94,6179
95,6188
96,5060
97,7116
98,4126
99,4135
100,5627
